"Object designation","Removal date in UTC","VI date in UTC","Last IP","Last PS"
"2010CA","2022-08-11 09:35","2022-08-07 07:29","7.55E-09","-6.06"
"2022OK5","2022-08-08 23:02","2120-08-02 16:58","2.55E-07","-5.84"
"2022PW","2022-08-08 07:26","2098-02-08 01:04","1.67E-08","-8.32"
"2018BH1","2022-08-08 07:25","2095-09-15 22:17","1.21E-08","-8.10"
"2022ML3","2022-08-07 08:53","2119-04-15 22:36","5.04E-09","-9.96"
"2022OK","2022-08-04 08:24","2120-07-20 15:24","3.49E-08","-9.56"
"2014EK67","2022-08-03 07:28","2026-09-24 04:04","1.80E-10","-3.38"
"2022OR","2022-07-29 15:53","2093-08-13 05:28","2.99E-09","-7.14"
"2022OM","2022-07-28 14:17","2120-07-12 08:01","3.47E-08","-6.77"
"2022OH","2022-07-27 13:57","2094-11-22 02:34","1.75E-09","-6.87"
"2022OY","2022-07-26 14:06","2110-07-24 04:04","8.18E-07","-6.37"
"2022ML3","2022-07-25 14:12","2115-05-07 15:33","2.57E-08","-9.15"
"2022NH1","2022-07-22 13:16","2045-02-16 06:20","3.20E-09","-6.11"
"2022KK5","2022-07-19 15:27","2043-05-27 14:22","1.84E-07","-6.50"
"2022BX1","2022-07-19 15:25","2121-07-13 05:08","4.62E-09","-7.09"
"2022NJ","2022-07-14 13:43","2085-07-16 19:15","3.59E-07","-7.07"
"2014CH13","2022-07-13 08:31","2047-07-08 05:10","6.76E-10","-8.86"
"2022AE2","2022-07-08 16:45","2096-01-08 23:40","3.61E-04","-4.14"
"2022ME4","2022-07-08 05:48","2102-08-06 07:06","8.54E-07","-4.73"
"2022LB3","2022-07-04 12:59","2052-05-18 23:12","2.07E-08","-6.28"
"2022ML3","2022-07-03 14:10","2118-04-30 21:45","2.84E-07","-8.11"
"2022KE6","2022-06-30 14:26","2119-05-17 08:44","1.95E-09","-8.13"
"2022LV","2022-06-26 22:37","2095-09-17 00:16","1.67E-07","-7.64"
"2017SM33","2022-06-24 12:41","2024-03-20 10:41","7.12E-11","-6.08"
"2021QM1","2022-06-22 13:23","2052-04-02 01:36","3.21E-04","-2.69"
"2021LC3","2022-06-15 08:02","2065-06-09 18:38","1.21E-09","-9.68"
"2021PB9","2022-06-15 08:01","2078-08-16 20:53","9.36E-10","-8.90"
"2021JT","2022-06-15 08:01","2120-05-11 22:33","2.09E-11","-12.24"
"2021UU","2022-06-15 08:01","2088-10-21 22:30","3.79E-10","-10.36"
"2021RA10","2022-06-15 08:00","2113-09-01 11:22","1.97E-11","-11.37"
"2022HM","2022-06-15 07:26","2117-04-22 01:17","3.23E-11","-11.91"
"2022LB1","2022-06-12 11:34","2114-06-16 14:11","2.58E-07","-5.23"
"2022LX1","2022-06-12 11:33","2111-07-14 05:08","1.88E-05","-2.60"
"2022KJ5","2022-06-03 05:56","2091-05-26 12:41","1.25E-08","-7.90"
"2022KG1","2022-06-01 14:57","2102-05-23 02:36","8.26E-08","-9.24"
"2020TJ3","2022-05-27 07:33","2114-11-06 02:27","8.38E-08","-7.27"
"2022KL1","2022-05-25 14:11","2112-05-21 19:50","6.54E-11","-11.71"
"2019SQ8","2022-05-16 13:27","2094-04-20 21:59","3.67E-11","-9.56"
"2022HY3","2022-05-13 13:17","2116-05-04 23:41","2.22E-08","-9.37"
"2022JC1","2022-05-13 05:35","2078-05-17 21:20","9.63E-08","-7.27"
"2022JK","2022-05-07 06:23","2093-10-29 21:58","5.35E-07","-6.88"
"2022HY3","2022-05-07 06:22","2091-05-06 15:37","2.21E-08","-9.23"
"2019UC14","2022-05-07 06:22","2111-11-16 04:06","3.67E-11","-9.74"
"2014MO68","2022-05-07 06:21","2108-08-07 01:33","7.20E-07","-5.77"
"2022HL","2022-05-04 13:03","2120-04-12 18:37","2.27E-09","-8.48"
"2022HH1","2022-05-01 09:04","2099-03-25 22:39","1.70E-08","-9.39"
"2022HP","2022-04-29 13:41","2062-04-08 10:55","1.65E-08","-6.68"
"2022HD3","2022-04-29 13:23","2074-05-04 14:56","4.15E-10","-10.18"
"2022HC3","2022-04-29 12:59","2099-10-14 07:47","5.13E-09","-6.20"
"2022HH1","2022-04-26 14:57","2095-03-25 20:30","1.51E-09","-10.43"
"2022GU6","2022-04-26 13:14","2066-06-16 03:21","1.79E-10","-8.90"
