"Object designation","Removal date in UTC","VI date in UTC","Last IP","Last PS"
"2025DJ5","2025-04-29 14:31","2074-04-20 09:06","1.92E-05","-4.83"
"2025HC6","2025-04-29 14:24","2077-04-29 03:08","6.42E-09","-9.03"
"2025HJ5","2025-04-29 14:24","2124-05-23 04:33","2.74E-08","-8.83"
"2025HW1","2025-04-27 14:12","2118-05-01 03:18","2.26E-10","-9.98"
"2025HW1","2025-04-25 14:32","2123-05-01 08:25","8.03E-11","-10.47"
"2025HL1","2025-04-25 14:13","2117-04-06 03:34","6.52E-10","-10.81"
"2025FU5","2025-04-22 14:42","2086-05-12 19:51","5.85E-08","-6.39"
"2018QE","2025-04-21 19:54","2068-10-11 01:41","1.38E-05","-6.37"
"2024UC2","2025-04-21 19:20","2079-10-10 20:58","2.26E-06","-7.29"
"2024HJ","2025-04-17 14:48","2099-04-24 18:28","7.94E-08","-4.84"
"2025GX","2025-04-17 13:41","2081-04-19 07:58","6.54E-08","-8.25"
"2025GF1","2025-04-17 13:01","2039-10-26 08:36","4.78E-11","-7.77"
"2025EQ2","2025-04-13 12:25","2078-03-24 04:43","6.56E-06","-6.20"
"2025FA6","2025-04-10 11:26","2119-06-21 02:30","1.63E-11","-10.48"
"2025FR18","2025-04-05 13:19","2108-04-21 13:38","1.54E-10","-8.57"
"2025FA15","2025-04-03 13:58","2063-09-23 16:40","1.26E-07","-6.76"
"2025FS16","2025-04-03 13:52","2038-04-16 19:08","6.53E-11","-9.28"
"2025GB","2025-04-02 13:50","2082-04-03 23:23","1.05E-09","-8.88"
"2025FV2","2025-04-01 13:52","2091-07-21 07:59","1.91E-09","-6.77"
"2025FM18","2025-04-01 13:48","2100-07-28 11:28","2.25E-08","-9.66"
"2025FA6","2025-03-31 13:45","2119-06-21 00:20","3.68E-07","-6.09"
"2011VG9","2025-03-29 14:55","2104-11-03 20:47","2.87E-07","-5.02"
"2025FQ7","2025-03-28 14:20","2094-04-02 12:31","1.86E-07","-7.61"
"2025FB8","2025-03-27 16:13","2069-03-29 08:53","2.30E-07","-8.45"
"2025FO2","2025-03-27 15:37","2105-12-04 05:41","2.46E-08","-9.14"
"2025FO4","2025-03-27 15:33","2085-04-15 07:55","1.00E-08","-6.34"
"2025FA7","2025-03-26 13:37","2113-09-09 23:02","4.83E-09","-8.95"
"2025DB3","2025-03-25 01:50","2120-03-14 17:23","6.81E-10","-10.59"
"2025BM6","2025-03-25 01:43","2077-01-26 09:02","1.80E-06","-6.84"
"2022RS1","2025-03-25 01:43","2113-09-01 09:45","6.58E-10","-11.01"
"2025DS3","2025-03-18 12:45","2077-07-23 07:22","1.10E-08","-7.85"
"2025EV3","2025-03-13 12:46","2079-03-09 05:29","5.62E-11","-11.13"
"2025DA","2025-03-05 13:31","2123-01-30 08:49","2.32E-11","-9.08"
"2025EW","2025-03-05 13:29","2097-03-03 13:40","4.57E-06","-6.71"
"2023AC2","2025-03-04 08:55","2051-12-31 02:32","1.86E-05","-4.37"
"2022SD29","2025-03-04 08:28","2110-09-16 11:47","8.72E-07","-7.23"
"2024RQ","2025-03-04 08:26","2059-09-14 17:20","1.85E-10","-9.74"
"2025DO1","2025-03-02 13:43","2116-02-07 10:34","1.56E-10","-11.24"
"2023RW3","2025-03-01 15:03","2078-02-25 22:46","1.83E-07","-7.59"
"2025DJ22","2025-03-01 13:41","2102-09-03 18:54","4.80E-11","-11.29"
"2025DE1","2025-02-28 13:46","2078-02-20 09:09","6.76E-10","-9.14"
