"No.","Object designation","Diameter in m","Impact date/time in UTC","IP max","PS max","TS","Years","IP cum","PS cum","Vel. in km/s","In list since in d"
"425","2022PX1","90 - 210*","2040-08-11 15:55","1/2.62E8","-6.03","0","2040","1/2.62E8","-6.03","36.85","1202"
"426","2020YB1","13 - 28*","2073-12-25 07:54","1/152671","-6.03","0","2073-2120","1/41841","-5.55","16.26","1802"
"427","2013NH6","60 - 120*","2060-06-29 19:34","1/1.80E7","-6.03","0","2060","1/6.99E6","-5.62","24.42","4527"
"428","2022UG6","7 - 17*","2062-10-15 20:05","1/66225","-6.03","0","2059-2116","1/63694","-6.01","18.30","1130"
"429","2021VB2","6 - 14*","2072-11-08 23:14","1/21645","-6.03","0","2072","1/14204","-5.85","13.90","1481"
"430","2023XR14","6 - 14*","2104-12-13 14:13","1/19379","-6.04","0","2093-2120","1/16694","-5.97","15.19","711"
"431","2022AP1","6 - 14*","2076-01-03 04:12","1/22522","-6.04","0","2059-2122","1/16556","-5.90","15.32","1418"
"432","2014AD16","8 - 19*","2087-01-08 08:33","1/49504","-6.05","0","2087-2098","1/49504","-6.05","13.94","4343"
"433","2016CY135","40 - 90*","2103-03-11 08:06","1/892857","-6.05","0","2103-2119","1/500000","-5.82","13.05","3577"
"434","2010TW54","8 - 18*","2103-10-10 08:02","1/33003","-6.06","0","2074-2122","1/14306","-5.73","13.62","5523"
"435","2007EV","26 - 60*","2117-03-18 16:55","1/558659","-6.06","0","2088-2118","1/184501","-5.54","15.41","5322"
"436","2016CK137","9 - 19*","2059-02-03 13:08","1/108813","-6.06","0","2054-2122","1/20202","-5.55","14.89","3576"
"437","2025DW","1.7 - 4*","2109-02-20 16:17","1/980","-6.07","0","2068-2122","1/775","-5.96","13.46","279"
"438","2022MK1","50 - 100*","2099-07-19 16:41","1/1.63E6","-6.07","0","2099-2106","1/1.41E6","-6.01","12.90","1251"
"439","2015KE319","12 - 27*","2046-05-29 10:45","1/543478","-6.07","0","2046-2092","1/432900","-6.00","16.62","1211"
"440","2021VY4","14 - 30*","2111-11-14 08:28","1/156250","-6.07","0","2103-2120","1/45662","-5.54","17.85","1477"
"441","2018BL11","6 - 13*","2107-01-22 18:55","1/18656","-6.07","0","2107-2122","1/8000","-5.72","15.89","2837"
"442","2021CZ7","6 - 14*","2117-02-18 04:44","1/13386","-6.07","0","2040-2117","1/13175","-6.06","14.40","1746"
"443","2020FZ46","40 - 90*","2091-07-27 02:28","1/3.53E6","-6.07","0","2059-2117","1/1.89E6","-5.82","18.59","568"
"444","2019BZ","8 - 19*","2078-07-28 06:53","1/58479","-6.08","0","2076-2121","1/45871","-6.01","14.11","2497"
"445","2014HN2","14 - 30*","2120-03-22 16:35","1/83333","-6.08","0","2107-2120","1/83333","-6.08","11.47","4234"
"446","2005WG57","50 - 110*","2092-08-22 17:33","1/2.98E6","-6.08","0","2092-2122","1/2.33E6","-5.99","14.93","6252"
"447","2019AB","14 - 30*","2108-01-05 13:03","1/160256","-6.08","0","2108","1/160256","-6.08","14.95","2519"
"448","2024SO4","14 - 30*","2111-09-26 22:53","1/175746","-6.09","0","2111-2114","1/142450","-6.00","15.34","423"
"449","2024BJ3","17 - 40*","2091-07-08 00:16","1/531914","-6.09","0","2079-2114","1/232018","-5.77","20.83","666"
"450","2023TM3","11 - 25*","2092-10-09 21:49","1/128700","-6.09","0","2082-2121","1/40322","-5.62","15.88","779"
"451","2020BB5","3 - 7*","2107-01-23 02:03","1/3257","-6.09","0","2092-2115","1/3205","-6.08","14.24","2133"
"452","2014FX32","25 - 60*","2076-03-12 03:26","1/909090","-6.09","0","2076","1/909090","-6.09","14.38","4262"
"453","2009BF58","9 - 21*","2083-01-22 05:27","1/62111","-6.09","0","2057-2121","1/21834","-5.68","13.03","6143"
"454","2025OB","14 - 30*","2063-07-18 23:01","1/505050","-6.09","0","2063-2066","1/505050","-6.09","18.16","132"
"455","2009HW67","15 - 30*","2079-04-24 14:14","1/694444","-6.10","0","2046-2079","1/390625","-5.77","25.29","6055"
"456","2011DS","11 - 24*","2080-02-24 17:57","1/86206","-6.10","0","2065-2122","1/39525","-5.81","12.95","5334"
"457","2021RR14","12 - 27*","2108-04-29 14:18","1/56818","-6.10","0","2074-2121","1/20366","-5.64","11.60","1534"
"458","2011WN69","15 - 30*","2109-11-23 12:36","1/416666","-6.10","0","2038-2109","1/234741","-5.85","25.60","5110"
"459","2023MW5","11 - 24*","2109-06-20 06:09","1/61349","-6.10","0","2059-2117","1/22123","-5.62","13.23","881"
"460","2022HO2","22 - 50*","2065-05-01 00:29","1/1.18E6","-6.10","0","2065-2066","1/1.15E6","-6.09","19.10","1308"
"461","2025VJ5","14 - 30*","2060-05-07 08:05","1/383141","-6.11","0","2044-2125","1/111607","-5.63","15.08","10"
"462","2023NQ1","70 - 150*","2120-07-09 17:41","1/1.08E7","-6.11","0","2120","1/1.08E7","-6.11","25.84","865"
"463","2021UX1","4 - 9*","2082-10-25 04:05","1/5813","-6.11","0","2034-2106","1/4081","-5.78","11.64","1490"
"464","2022BY39","2.8 - 6*","2107-01-22 17:22","1/1956","-6.11","0","2107-2111","1/1618","-6.03","11.46","1337"
"465","2020OM6","27 - 60*","2106-07-14 02:31","1/497512","-6.11","0","2106-2121","1/490196","-6.11","12.27","1943"
"466","2008VM","2.2 - 5*","2031-11-04 17:35","1/27322","-6.11","0","2031","1/27322","-6.11","15.17","6231"
"467","2015JJ","100 - 230*","2118-11-06 23:48","1/1.91E7","-6.11","0","2111-2118","1/1.43E7","-5.98","15.48","3850"
"468","2021VP8","15 - 30*","2110-11-26 20:24","1/126422","-6.12","0","2073-2110","1/90909","-5.98","12.98","1475"
"469","2023UV","50 - 110*","2098-10-06 02:58","1/1.75E7","-6.12","0","2098","1/1.75E7","-6.12","37.73","770"
"470","2006BM8","22 - 50*","2113-01-21 22:57","1/613496","-6.13","0","2102-2122","1/251256","-5.75","18.53","4643"
"471","2020WD","6 - 14*","2085-09-30 10:19","1/20833","-6.13","0","2055-2120","1/9803","-5.85","12.55","1835"
"472","2012BA102","11 - 25*","2112-01-27 01:25","1/108932","-6.13","0","2112-2117","1/63694","-5.91","13.32","2261"
"473","2025JP","24 - 50*","2102-06-14 03:24","1/505050","-6.14","0","2102-2125","1/116414","-5.58","12.64","206"
"474","2012VS76","11 - 24*","2084-11-16 16:06","1/131926","-6.14","0","2081-2120","1/76335","-5.92","16.03","4759"
"475","2015SG","14 - 30*","2105-08-17 08:13","1/136054","-6.14","0","2105","1/136054","-6.14","13.69","3720"
"476","2025FK3","4 - 9*","2114-09-20 17:01","1/17857","-6.14","0","2114-2125","1/9615","-5.87","23.23","246"
"477","2022YJ5","12 - 26*","2104-12-22 07:16","1/187969","-6.15","0","2102-2110","1/161290","-6.08","21.40","1066"
"478","2022QO2","8 - 17*","2070-08-20 06:33","1/109289","-6.15","0","2070-2118","1/90909","-6.09","21.12","1191"
"479","2022JV1","9 - 19*","2116-05-11 17:45","1/32894","-6.15","0","2074-2120","1/10559","-5.62","12.91","1295"
"480","2023ES1","7 - 16*","2047-05-05 23:54","1/99009","-6.15","0","2047-2108","1/22471","-5.85","13.62","987"
"481","2020VO1","7 - 16*","2085-11-07 20:44","1/30487","-6.15","0","2068-2121","1/12345","-5.82","13.56","1841"
"482","2022VQ1","18 - 40*","2111-04-29 14:11","1/265957","-6.15","0","2111-2121","1/219780","-6.07","15.31","1108"
"483","2023QH","50 - 110*","2054-08-29 07:55","1/1.46E7","-6.16","0","2054","1/1.46E7","-6.16","20.12","830"
"484","2019WE","12 - 27*","2044-11-22 20:26","1/371747","-6.17","0","2044-2078","1/123609","-5.92","13.82","2200"
"485","2020FZ2","26 - 60*","2118-03-29 03:48","1/1.36E6","-6.17","0","2110-2122","1/641025","-5.84","24.96","2074"
"486","2008CT1","7 - 16*","2116-02-06 09:27","1/56818","-6.17","0","2030-2122","1/39062","-5.97","17.84","6252"
"487","2014WA366","12 - 27*","2117-11-16 16:42","1/80645","-6.18","0","2109-2117","1/80000","-6.18","11.42","4012"
"488","2012XM16","18 - 40*","2081-12-20 00:45","1/581395","-6.18","0","2081-2107","1/416666","-6.07","16.91","4733"
"489","2018VA8","12 - 26*","2099-11-09 16:56","1/125156","-6.18","0","2099-2119","1/46728","-5.77","16.27","2570"
"490","2025UB","9 - 20*","2101-10-24 20:53","1/54644","-6.18","0","2092-2125","1/21052","-5.80","12.30","40"
"491","2025QG16","15 - 30*","2121-09-04 18:00","1/218818","-6.19","0","2106-2125","1/94339","-5.82","16.63","87"
"492","2019PG","21 - 50*","2115-07-13 19:22","1/373134","-6.19","0","2103-2122","1/371747","-6.19","13.29","2303"
"493","2012VJ38","5 - 12*","2077-11-14 15:41","1/19455","-6.19","0","2031-2121","1/14326","-5.86","12.03","4761"
"494","2007HB15","7 - 17*","2055-04-25 12:33","1/84745","-6.19","0","2055-2119","1/39682","-6.02","12.85","6252"
"495","2020TO2","14 - 30*","2119-10-17 23:07","1/158730","-6.19","0","2119-2121","1/81967","-5.91","16.81","1872"
"496","2011CU46","19 - 40*","2103-08-13 19:01","1/763358","-6.19","0","2047-2122","1/117508","-5.34","19.57","5334"
"497","2022OK5","60 - 140*","2120-08-02 16:58","1/1.01E7","-6.19","0","2120","1/1.01E7","-6.19","21.50","1211"
"498","2021ER","11 - 25*","2084-02-28 11:13","1/84745","-6.19","0","2076-2110","1/78740","-6.16","11.97","1726"
"499","2023VF4","19 - 40*","2122-11-06 18:01","1/420168","-6.20","0","2122","1/398406","-6.18","16.57","748"
"500","2020QF1","5 - 12*","2102-08-14 22:25","1/19455","-6.20","0","2102","1/19455","-6.20","16.71","1925"
"501","2016CG18","5 - 12*","2062-08-07 04:20","1/26809","-6.20","0","2062-2122","1/6211","-5.80","11.95","3583"
"502","2009RR","20 - 50*","2108-09-17 08:34","1/568181","-6.21","0","2102-2120","1/91743","-5.42","17.11","5919"
"503","2021PK4","6 - 14*","2068-08-06 20:29","1/54054","-6.21","0","2060-2075","1/47846","-6.15","16.40","1569"
"504","2025QY16","21 - 50*","2106-07-06 01:14","1/518134","-6.22","0","2063-2106","1/518134","-6.22","14.40","87"
"505","2021CH37","7 - 16*","2120-02-19 03:44","1/24271","-6.22","0","2120","1/18450","-6.10","13.38","1440"
"506","2023UG4","14 - 30*","2081-11-01 09:08","1/215982","-6.22","0","2081-2122","1/54054","-5.69","11.85","767"
"507","2020PO4","12 - 26*","2102-02-07 16:12","1/83333","-6.22","0","2053-2122","1/18214","-5.50","12.61","1928"
"508","2017AA21","15 - 30*","2028-02-06 15:11","1/7.46E6","-6.22","0","2027-2121","1/434782","-5.80","14.13","3228"
"509","2024RG7","30 - 70*","2102-09-18 13:10","1/1.91E6","-6.23","0","2102","1/909090","-5.91","15.66","444"
"510","2021AX6","12 - 26*","2062-12-30 11:24","1/198412","-6.23","0","2062-2089","1/193423","-6.22","13.25","1775"
"511","2010NH","20 - 40*","2092-06-30 20:06","1/537634","-6.23","0","2092","1/537634","-6.23","15.20","5622"
"512","2021NM3","13 - 30*","2117-07-18 08:37","1/122699","-6.23","0","2111-2117","1/110253","-6.18","13.87","1599"
"513","2020CF2","8 - 19*","2112-02-10 22:54","1/32467","-6.23","0","2108-2122","1/21186","-6.04","11.63","2112"
"514","2018FL29","2.6 - 6*","2026-11-20 16:39","1/193798","-6.23","0","2026-2121","1/11337","-6.02","16.79","2782"
"515","2025GW","10 - 23*","2093-03-19 03:46","1/114547","-6.24","0","2093-2111","1/113378","-6.24","13.85","232"
"516","2023JV","30 - 80*","2109-10-31 18:41","1/2.29E6","-6.24","0","2053-2111","1/2.28E6","-6.24","18.19","929"
"517","2024XS8","5 - 12*","2095-11-25 12:26","1/21231","-6.24","0","2092-2122","1/6535","-5.75","14.40","353"
"518","2007YS56","18 - 40*","2113-12-26 15:12","1/334448","-6.24","0","2113","1/171526","-5.95","14.44","5322"
"519","2009WQ25","40 - 90*","2094-10-27 14:39","1/5.29E6","-6.24","0","2094-2106","1/4.05E6","-6.14","20.30","5847"
"520","2020WZ3","16 - 40*","2118-05-20 14:02","1/174216","-6.24","0","2107-2121","1/147492","-6.16","12.84","1828"
"521","2015XR169","5 - 11*","2062-12-13 16:23","1/27247","-6.24","0","2050-2122","1/5714","-5.62","14.69","3638"
"522","2020FA1","15 - 30*","2119-09-08 18:57","1/115207","-6.24","0","2117-2119","1/111482","-6.23","11.40","2079"
"523","2018CM","7 - 16*","2072-02-08 09:40","1/67567","-6.24","0","2042-2120","1/43668","-6.09","14.67","2848"
"524","2023VD1","26 - 60*","2113-01-27 20:45","1/862068","-6.25","0","2060-2123","1/155279","-5.49","14.06","752"
"525","2017QM33","7 - 16*","2084-08-25 03:56","1/103412","-6.25","0","2079-2107","1/93457","-6.21","20.86","3009"
"526","2017YE8","22 - 50*","2118-12-26 07:25","1/621118","-6.25","0","2112-2118","1/487804","-6.14","18.09","2885"
"527","2019GD4","8 - 18*","2084-02-03 22:28","1/53763","-6.25","0","2072-2121","1/18726","-5.84","13.45","2421"
"528","2013HT14","13 - 30*","2077-04-16 13:35","1/740740","-6.25","0","2043-2086","1/540540","-6.07","23.35","4600"
"529","2016EM156","7 - 17*","2116-03-19 15:09","1/31152","-6.25","0","2116","1/28985","-6.22","14.23","3543"
"530","2004FU162","4 - 8*","2026-04-01 04:48","1/2.63E6","-6.26","0","2025-2122","1/157977","-5.74","17.50","5322"
"531","2021CN5","8 - 17*","2112-02-15 14:45","1/62500","-6.26","0","2109-2122","1/34129","-6.00","19.55","1749"
"532","2020UC","8 - 18*","2070-10-22 02:52","1/84745","-6.27","0","2053-2119","1/20703","-5.75","13.51","1865"
"533","2020UX4","20 - 40*","2094-08-25 15:45","1/416666","-6.27","0","2074-2121","1/250000","-6.07","13.56","1858"
"534","2007TX22","6 - 13*","2060-10-12 05:48","1/48076","-6.28","0","2048-2087","1/20202","-5.95","14.23","6252"
"535","2017WL15","18 - 40*","2114-05-22 19:38","1/662251","-6.29","0","2058-2114","1/338983","-5.85","21.18","2921"
"536","2025AC1","11 - 24*","2119-12-29 23:48","1/103950","-6.30","0","2080-2119","1/65789","-6.06","12.83","326"
"537","2012BU1","7 - 15*","2102-01-14 08:59","1/55248","-6.30","0","2071-2122","1/18518","-5.83","14.34","5059"
"538","2002GM5","110 - 250*","2113-10-04 04:11","1/7.94E7","-6.30","0","2113","1/7.94E7","-6.30","22.61","4651"
"539","2020WN5","6 - 14*","2085-05-13 04:21","1/57471","-6.30","0","2074-2122","1/15082","-5.82","16.13","1822"
"540","2007US51","9 - 20*","2117-11-01 12:52","1/121065","-6.30","0","2082-2120","1/56497","-5.95","18.90","6252"
"541","2016AB166","40 - 80*","2108-01-13 08:04","1/4.24E6","-6.30","0","2106-2115","1/3.06E6","-6.16","24.33","3602"
"542","2024SQ","18 - 40*","2112-10-01 17:12","1/564971","-6.31","0","2084-2118","1/176366","-5.78","16.86","427"
"543","2017AY20","170 - 400*","2027-11-04 19:02","1/1.69E10","-6.31","0","2027-2115","1/1.51E9","-5.89","23.15","1924"
"544","2025UC2","7 - 15*","2122-10-24 09:55","1/37453","-6.31","0","2091-2123","1/31347","-6.22","15.28","37"
"545","2023UR10","2.9 - 6*","2032-10-19 09:58","1/58139","-6.32","0","2030-2032","1/57142","-6.31","14.80","757"
"546","2014GQ17","10 - 23*","2067-06-13 08:53","1/155279","-6.32","0","2054-2122","1/16806","-5.46","12.41","4252"
"547","2021SO1","11 - 26*","2115-10-13 19:10","1/99009","-6.32","0","2084-2115","1/69444","-6.13","14.11","1519"
"548","2019UE4","8 - 17*","2064-10-21 03:02","1/147275","-6.32","0","2064-2122","1/60240","-6.10","16.09","2224"
"549","2024WS","14 - 30*","2103-03-22 20:47","1/288184","-6.33","0","2103-2108","1/285714","-6.33","15.67","369"
"550","2024FB","19 - 40*","2119-08-17 01:37","1/425531","-6.33","0","2058-2122","1/224215","-6.01","14.38","618"
"551","2010UC7"," 43 ","2118-11-06 08:53","1/1.83E6","-6.33","0","2112-2118","1/833333","-5.99","17.46","3997"
"552","2020DK","17 - 40*","2093-02-07 21:24","1/440528","-6.33","0","2089-2122","1/85470","-5.64","15.30","2108"
"553","2006WV29","13 - 28*","2036-06-04 07:51","1/2.50E6","-6.33","0","2036-2120","1/186915","-5.83","20.13","6252"
"554","2024GF6","12 - 27*","2116-04-20 17:00","1/152207","-6.34","0","2116-2121","1/95238","-6.14","13.89","590"
"555","2024VP4","5 - 11*","2116-11-11 00:08","1/15360","-6.34","0","2093-2121","1/9615","-6.11","11.67","377"
"556","2020AO1","50 - 110*","2049-01-13 17:16","1/3.42E7","-6.34","0","2049","1/3.42E7","-6.34","20.36","2152"
"557","2023TA","7 - 16*","2125-09-27 02:52","1/29498","-6.35","0","2125","1/13123","-6.00","11.59","772"
"558","2019DX","10 - 23*","2098-03-04 18:58","1/200803","-6.35","0","2051-2103","1/189035","-6.30","16.70","2463"
"559","2012KP24","14 - 30*","2032-05-28 14:05","1/3.26E6","-6.35","0","2032","1/3.26E6","-6.35","16.95","4933"
"560","2011SE191","24 - 50*","2118-09-23 12:50","1/1.46E6","-6.35","0","2098-2118","1/1.46E6","-6.35","18.27","5167"
"561","2020TS1","4 - 9*","2121-10-10 07:01","1/7299","-6.36","0","2121","1/7299","-6.36","11.73","1873"
"562","2017FW90","6 - 14*","2119-10-03 15:15","1/22573","-6.36","0","2101-2119","1/18382","-6.27","11.93","3166"
"563","2005SO1","21 - 50*","2110-09-21 11:08","1/884955","-6.36","0","2110","1/260416","-5.83","16.42","2261"
"564","2018DZ3","14 - 30*","2110-03-04 19:18","1/255754","-6.37","0","2068-2113","1/210526","-6.28","15.05","2824"
"565","2021EO","25 - 60*","2113-03-17 11:03","1/840336","-6.37","0","2113-2116","1/529100","-6.17","13.43","1727"
"566","2022LD","50 - 120*","2122-05-30 07:25","1/7.35E6","-6.37","0","2122","1/4.74E6","-6.18","18.50","1212"
"567","2014OX3","8 - 18*","2116-07-24 17:50","1/66666","-6.37","0","2116-2120","1/66666","-6.37","16.99","4140"
"568","2025NA","8 - 18*","2095-07-01 20:41","1/110375","-6.37","0","2095-2122","1/80000","-6.26","16.43","147"
"569","2020HQ4","11 - 24*","2109-04-10 01:58","1/90909","-6.38","0","2059-2121","1/26954","-5.75","11.72","2043"
"570","2022CE5","60 - 140*","2111-11-12 05:10","1/4.12E7","-6.38","0","2103-2115","1/2.46E7","-6.17","37.31","1385"
"571","2011YC63","4 - 8*","2034-12-30 01:31","1/241545","-6.38","0","2034-2106","1/231481","-6.37","21.91","5076"
"572","2018XR4","12 - 27*","2079-12-16 14:16","1/283286","-6.38","0","2062-2117","1/193423","-6.17","16.26","2537"
"573","2011AY22","10 - 23*","2106-01-17 18:34","1/158982","-6.38","0","2044-2118","1/33557","-5.69","17.17","5334"
"574","2023TM15","12 - 27*","2100-05-15 05:45","1/374531","-6.38","0","2076-2117","1/163132","-6.01","19.98","772"
"575","2016LP10","3 - 8*","2054-06-10 19:01","1/35587","-6.38","0","2033-2122","1/9523","-5.98","19.14","3456"
"576","2010UY7","5 - 11*","2109-01-01 13:16","1/17574","-6.38","0","2066-2121","1/4975","-5.77","11.83","5504"
"577","2025CB8","4 - 9*","2105-01-29 19:19","1/9523","-6.39","0","2067-2123","1/6369","-6.21","12.27","272"
"578","2020YM1","3 - 8*","2091-12-24 01:32","1/6211","-6.39","0","2091-2121","1/4807","-6.30","11.57","1801"
"579","2015ET","13 - 28*","2076-03-08 02:08","1/371747","-6.39","0","2076-2122","1/109890","-5.95","16.20","3912"
"580","2011YQ1","20 - 40*","2113-12-16 02:57","1/714285","-6.39","0","2113","1/714285","-6.39","16.15","2261"
"581","2025CJ3","16 - 40*","2119-02-14 17:36","1/409836","-6.40","0","2119","1/409836","-6.40","14.01","291"
"582","2024XH","9 - 21*","2078-12-04 21:19","1/214132","-6.40","0","2070-2078","1/198807","-6.36","15.71","359"
"583","2013BR27","7 - 16*","2073-01-16 08:38","1/120192","-6.40","0","2073-2110","1/34246","-5.96","15.67","4692"
"584","2015UR67","15 - 30*","2091-10-25 02:34","1/438596","-6.40","0","2091","1/438596","-6.40","16.13","3678"
"585","2023SS4","11 - 25*","2117-09-17 02:38","1/180505","-6.40","0","2117-2120","1/111856","-6.20","16.62","795"
"586","2020BY4","16 - 40*","2055-01-31 00:14","1/2.02E6","-6.40","0","2055-2117","1/473933","-6.01","23.12","2133"
"587","2019VH","8 - 18*","2065-10-24 19:19","1/119904","-6.40","0","2065-2097","1/84745","-6.31","13.88","2215"
"588","2023RO1","17 - 40*","2099-03-19 08:48","1/621118","-6.40","0","2077-2123","1/289017","-6.06","16.97","810"
"589","2014CE","11 - 24*","2120-02-03 04:46","1/155520","-6.40","0","2111-2120","1/114285","-6.26","17.18","4314"
"590","2002VY91","15 - 30*","2119-11-10 02:34","1/363636","-6.40","0","2119","1/319488","-6.34","14.47","1210"
"591","2021NL8","14 - 30*","2091-07-02 09:45","1/333333","-6.41","0","2076-2121","1/187617","-6.19","14.94","1593"
"592","2011TO","14 - 30*","2064-09-27 09:27","1/588235","-6.41","0","2063-2099","1/581395","-6.41","14.07","5167"
"593","2008KN11","60 - 140*","2046-06-20 19:10","1/4.72E7","-6.41","0","2045-2046","1/4.57E7","-6.40","17.78","6252"
"594","2021RL14","9 - 20*","2104-09-12 09:00","1/89285","-6.41","0","2104-2118","1/80000","-6.37","14.79","1534"
"595","2022LL1","21 - 50*","2118-06-12 20:57","1/1.72E6","-6.41","0","2118","1/806451","-6.08","26.75","1268"
"596","2023GM1","10 - 21*","2092-10-11 19:07","1/127551","-6.42","0","2085-2122","1/26246","-5.80","12.85","957"
"597","2023NG1","15 - 30*","2120-07-03 01:09","1/217391","-6.42","0","2117-2120","1/188323","-6.36","11.76","866"
"598","2010NN","5 - 11*","2110-07-04 19:40","1/29850","-6.42","0","2060-2112","1/15600","-6.06","13.58","5620"
"599","2001SB170","70 - 160*","2089-03-17 06:30","1/6.54E7","-6.42","0","2082-2121","1/2.9E7","-6.08","25.12","6252"
"600","2021JW2","8 - 19*","2046-04-21 11:56","1/208768","-6.42","0","2046-2121","1/11049","-5.56","12.18","1662"
"601","2016JA6","15 - 30*","2099-05-03 04:03","1/390625","-6.42","0","2091-2115","1/315457","-6.33","15.92","3492"
"602","2013AG69","8 - 19*","2119-01-13 18:03","1/167785","-6.42","0","2113-2119","1/119760","-6.27","20.64","4642"
"603","2011BP40","22 - 50*","2037-02-16 15:08","1/3.97E6","-6.42","0","2031-2097","1/1.14E6","-6.05","11.78","5334"
"604","2025DB15","15 - 30*","2059-01-23 14:31","1/826446","-6.43","0","2059-2117","1/826446","-6.43","12.88","272"
"605","2016WY","4 - 8*","2097-11-11 10:03","1/10471","-6.43","0","2091-2119","1/6289","-6.23","11.64","3291"
"606","2007EO88","13 - 30*","2073-03-16 14:28","1/537634","-6.43","0","2073-2118","1/129701","-5.97","15.64","6252"
"607","2023ES","14 - 30*","2083-03-11 00:05","1/423728","-6.43","0","2083","1/423728","-6.43","13.72","989"
"608","2023FU6","11 - 24*","2104-04-06 17:53","1/174520","-6.43","0","2086-2104","1/80645","-6.08","14.89","973"
"609","2022GA2","4 - 8*","2049-04-07 13:38","1/31545","-6.43","0","2049-2108","1/7042","-6.03","13.68","1330"
"610","2025EM","7 - 16*","2076-09-18 05:17","1/69444","-6.43","0","2058-2125","1/35211","-6.19","11.42","268"
"611","2023SL5","5 - 11*","2058-09-20 06:14","1/84033","-6.44","0","2058-2119","1/28409","-6.03","17.37","794"
"612","2021CU1","5 - 12*","2108-02-13 20:12","1/24937","-6.44","0","2059-2122","1/15174","-6.18","13.96","1753"
"613","2013AB65","7 - 16*","2113-01-13 10:07","1/204081","-6.44","0","2087-2122","1/140845","-6.27","26.86","4700"
"614","2022SK2","14 - 30*","2082-09-13 02:02","1/909090","-6.44","0","2079-2082","1/869565","-6.42","25.50","1161"
"615","2019SO7","70 - 150*","2114-10-13 13:24","1/1.37E7","-6.44","0","2114","1/1.37E7","-6.44","16.63","1171"
"616","2023VE1","2.5 - 6*","2079-11-03 00:58","1/6369","-6.45","0","2064-2120","1/1577","-5.86","11.98","752"
"617","2022OR1","7 - 16*","2114-07-16 11:55","1/35460","-6.45","0","2114-2121","1/33898","-6.43","12.04","1218"
"618","2014SR261","11 - 25*","2058-09-19 03:11","1/724637","-6.45","0","2058-2121","1/303030","-6.23","18.93","4078"
"619","2017SC33","90 - 210*","2026-03-04 19:46","1/3.23E10","-6.45","0","2026-2044","1/1.26E10","-6.40","28.84","2207"
"620","2021UN","5 - 11*","2050-10-14 02:18","1/87719","-6.46","0","2050-2089","1/54054","-6.33","17.24","1499"
"621","2022YY5","22 - 50*","2070-06-15 03:55","1/5.32E6","-6.46","0","2070","1/5.32E6","-6.46","27.39","1065"
"622","2009TU","9 - 21*","2086-10-09 23:58","1/218818","-6.46","0","2086-2120","1/54945","-5.90","18.83","5890"
"623","2022JR1","9 - 20*","2067-05-08 05:25","1/396825","-6.46","0","2065-2067","1/377358","-6.44","22.70","1296"
"624","2025PQ1","10 - 23*","2102-08-08 22:34","1/180831","-6.46","0","2099-2102","1/178890","-6.46","14.14","109"
"625","2024RZ21","27 - 60*","2123-02-05 11:50","1/2.62E6","-6.47","0","2064-2123","1/2.6E6","-6.46","21.09","438"
"626","2017RC","7 - 15*","2115-08-30 10:08","1/67114","-6.48","0","2086-2122","1/19047","-5.92","14.91","3006"
"627","2008DA4","40 - 90*","2091-02-12 08:43","1/7.35E6","-6.48","0","2091-2100","1/4.05E6","-6.25","15.94","2210"
"628","2001VB","500 - 1200*","2089-07-18 22:27","1/5.43E9","-6.48","0","2089","1/5.43E9","-6.48","33.85","2260"
"629","2022NX","13 - 29*","2114-07-19 01:42","1/172117","-6.48","0","2114-2121","1/150375","-6.42","12.19","1237"
"630","2009MG1","40 - 90*","2118-06-16 06:07","1/6.54E6","-6.48","0","2118","1/6.54E6","-6.48","20.30","5999"
"631","2022TW2","5 - 12*","2109-10-11 17:00","1/21367","-6.48","0","2071-2121","1/12315","-6.21","11.88","1137"
"632","2007EH26","40 - 80*","2117-09-16 02:44","1/6.71E6","-6.48","0","2109-2118","1/2.26E6","-6.01","22.91","2261"
"633","2022KM6","16 - 40*","2065-06-07 14:24","1/1.81E6","-6.48","0","2065-2115","1/709219","-6.14","23.22","1274"
"634","2022CA1","10 - 22*","2116-04-27 16:56","1/80000","-6.49","0","2055-2122","1/38910","-6.16","11.80","1390"
"635","2018LB","16 - 40*","2109-06-02 02:01","1/462963","-6.49","0","2092-2120","1/191204","-6.11","13.43","2729"
"636","2020GA3","27 - 60*","2089-04-23 04:57","1/3.17E6","-6.49","0","2054-2122","1/799999","-5.94","20.20","2049"
"637","2017QF3","7 - 15*","2046-02-16 12:02","1/331125","-6.49","0","2043-2122","1/40322","-5.77","16.98","3018"
"638","2017UP43","15 - 30*","2111-10-29 21:05","1/302114","-6.49","0","2110-2121","1/139664","-6.16","13.70","2947"
"639","2021JU3","10 - 23*","2121-11-16 01:30","1/154083","-6.49","0","2115-2121","1/152671","-6.49","16.30","1661"
"640","2017UJ43","8 - 17*","2079-11-06 23:29","1/91743","-6.49","0","2050-2109","1/55248","-6.20","13.15","2947"
"641","2013PG10","8 - 18*","2064-02-10 22:06","1/135318","-6.49","0","2056-2121","1/100300","-6.40","13.12","4494"
"642","2015TL21","14 - 30*","2078-10-05 19:03","1/746268","-6.50","0","2061-2103","1/293255","-6.08","18.79","3701"
"643","2021DG","2.9 - 6*","2050-02-19 01:54","1/24390","-6.50","0","2044-2077","1/9433","-6.22","17.09","1742"
"644","2018BD","2.4 - 5*","2032-01-18 12:29","1/59523","-6.50","0","2032-2062","1/58479","-6.50","14.28","2262"
