"No.","Object designation","Diameter in m","Impact date/time in UTC","IP max","PS max","TS","Years","IP cum","PS cum","Vel. in km/s","In list since in d"
"1117","2005CM7","16 - 40*","2032-08-11 02:00","1/8.06E7","-7.47","0","2028-2085","1/5.62E7","-7.44","21.76","6252"
"1118","2019QZ98","4 - 10*","2101-08-14 17:27","1/193423","-7.47","0","2057-2121","1/47846","-6.89","12.67","932"
"1119","2010VO139","12 - 27*","2065-11-11 01:19","1/1.03E7","-7.47","0","2043-2120","1/3.33E6","-6.98","23.18","5490"
"1120","2025UV1","17 - 40*","2117-10-23 21:15","1/6.33E6","-7.47","0","2117-2123","1/5.95E6","-7.44","16.50","37"
"1121","2024RL8","9 - 20*","2066-09-12 15:24","1/3.14E6","-7.48","0","2066-2121","1/653594","-7.00","17.29","444"
"1122","2025DB30","4 - 9*","2123-02-26 23:07","1/158227","-7.48","0","2123","1/158227","-7.48","14.31","269"
"1123","2019WV1","6 - 14*","2121-11-22 03:59","1/357142","-7.48","0","2078-2121","1/181159","-7.15","14.19","2191"
"1124","2022SJ28","15 - 30*","2116-10-04 21:32","1/3.41E6","-7.48","0","2104-2116","1/3.34E6","-7.47","14.79","1125"
"1125","2006UJ185","7 - 15*","2116-11-01 16:39","1/877193","-7.48","0","2051-2120","1/431034","-7.10","19.07","6252"
"1126","2023UP2","13 - 28*","2104-04-19 19:10","1/3.06E6","-7.49","0","2102-2119","1/2.75E6","-7.45","14.30","768"
"1127","2006YE","9 - 19*","2112-01-20 22:21","1/925926","-7.49","0","2065-2112","1/781250","-7.39","12.69","5322"
"1128","2022WR27","5 - 10*","2100-11-16 00:46","1/298507","-7.49","0","2100","1/298507","-7.49","14.85","953"
"1129","2019FU1","10 - 21*","2098-03-26 10:41","1/2.65E6","-7.49","0","2091-2106","1/1.3E6","-7.17","22.79","2431"
"1130","1993HP1","10 - 23*","2065-04-26 15:39","1/4.46E6","-7.49","0","2065-2089","1/4.46E6","-7.49","14.94","2262"
"1131","2023JE5","26 - 60*","2071-10-04 21:26","1/2.80E7","-7.50","0","2071-2114","1/2.72E7","-7.49","14.49","923"
"1132","2006DO62","5 - 10*","2053-02-21 23:52","1/1.59E6","-7.50","0","2053","1/1.59E6","-7.50","15.55","6252"
"1133","2025UA","9 - 20*","2119-09-23 05:12","1/869565","-7.51","0","2112-2123","1/666666","-7.39","12.07","40"
"1134","2020TY4","40 - 100*","2099-09-17 18:26","1/5.05E7","-7.51","0","2099","1/5.05E7","-7.51","13.97","1868"
"1135","2021WL2","12 - 26*","2095-12-17 17:10","1/2.09E6","-7.51","0","2092-2095","1/1.99E6","-7.49","13.16","1458"
"1136","2014FE","8 - 17*","2081-03-17 03:39","1/2.90E6","-7.51","0","2054-2081","1/1.07E6","-6.98","22.84","4267"
"1137","2020MQ61","2.6 - 6*","2047-06-18 18:32","1/318471","-7.51","0","2036-2107","1/111856","-7.19","17.43","481"
"1138","2013RR43","20 - 40*","2050-09-08 18:02","1/6.37E7","-7.51","0","2039-2066","1/1.72E7","-6.96","22.03","4457"
"1139","2022WR4","2.8 - 6*","2106-11-23 04:23","1/62111","-7.51","0","2101-2119","1/37174","-7.29","13.86","1097"
"1140","2021HC2","5 - 11*","2092-04-13 12:21","1/225225","-7.52","0","2092-2122","1/71428","-7.10","12.37","1681"
"1141","2005GQ33","40 - 100*","2081-10-25 08:39","1/4.03E8","-7.53","0","2081-2110","1/1.37E8","-7.14","24.45","6252"
"1142","2021WZ1","13 - 29*","2103-12-02 15:09","1/3.75E6","-7.53","0","2103-2109","1/3.02E6","-7.44","17.48","1459"
"1143","2011UR63","17 - 40*","2110-10-19 04:03","1/1.00E7","-7.53","0","2110","1/1E7","-7.53","16.82","2209"
"1144","2014HB177","6 - 14*","2085-05-03 22:35","1/505050","-7.53","0","2059-2110","1/328947","-7.30","12.73","4226"
"1145","2015HO182","14 - 30*","2046-04-10 22:49","1/2.03E7","-7.54","0","2046-2121","1/5.41E6","-7.41","13.53","3823"
"1146","2017DP109","10 - 23*","2086-03-02 03:43","1/3.61E6","-7.54","0","2057-2121","1/1.57E6","-7.20","16.65","3190"
"1147","2022QC265","3 - 7*","2095-08-20 11:48","1/213675","-7.54","0","2046-2095","1/213675","-7.54","17.18","763"
"1148","2020TD8","11 - 25*","2096-10-27 21:26","1/2.02E6","-7.54","0","2096","1/2.02E6","-7.54","13.41","1864"
"1149","2020YM3","17 - 40*","2105-06-28 04:29","1/4.24E6","-7.54","0","2105-2121","1/2.83E6","-7.39","11.95","1798"
"1150","2023RY15","7 - 15*","2107-09-09 20:55","1/740740","-7.55","0","2092-2112","1/317460","-7.15","15.01","801"
"1151","2021AL1","25 - 60*","2105-05-13 01:04","1/1.87E7","-7.55","0","2105","1/1.87E7","-7.55","17.18","1785"
"1152","2020PW2","5 - 11*","2100-08-15 03:57","1/332225","-7.55","0","2100","1/332225","-7.55","15.42","1928"
"1153","2021EA","6 - 14*","2058-03-02 22:56","1/1.61E6","-7.55","0","2058","1/1.61E6","-7.55","14.65","1729"
"1154","2020XF4","9 - 19*","2119-12-18 18:54","1/826446","-7.55","0","2104-2119","1/769230","-7.52","13.03","1809"
"1155","2014WE6","2.1 - 5*","2104-11-07 08:44","1/40485","-7.56","0","2104-2121","1/23640","-7.33","12.02","4025"
"1156","2022VQ","22 - 50*","2122-03-18 20:40","1/8.40E6","-7.56","0","2122","1/8.4E6","-7.56","14.22","1118"
"1157","2018MC7","16 - 40*","2120-06-20 23:10","1/3.00E6","-7.56","0","2120","1/3E6","-7.56","12.31","2713"
"1158","2024GY5","7 - 16*","2097-04-12 17:41","1/1.64E6","-7.57","0","2097-2111","1/1.58E6","-7.56","19.27","591"
